"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","PRODUCT ID","STANDARD COMPONENT ID","DEPENDENT MAX AGE RULE","AGE DETERMINATION RULE","MINIMUM TOBACCO FREE MONTHS RULE","COHABITATION RULE REQUIRED","COHABITATION RULE CODE","MARKET COVERAGE","DENTAL ONLY PLAN","MEDICAL OR DENTAL RULE","MAX CHILDREN IN POLICY"
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Grandson or Granddaughter",,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,DC,21066,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,DC,41842,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Grandson or Granddaughter",,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Ward,,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,DC,75753,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",Yes,"Life Partner",,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",Yes,"Life Partner",,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC032,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC033,,25,"Age on effective date","Not Applicable",No,Spouse,,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC033,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC033,,25,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2026,DC,78079,SERFF,1,01-13-2026,78079DC033,,25,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
