"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","FEDERAL TIN","RATE EXPIRATION","RATE EFFECTIVE DATE","PLAN ID","RATING AREA ID",TOBACCO,AGE,QHP_NON_QHP_TYPE_ID,"INDIVIDUAL RATE","INDIVIDUAL TOBACCO RATE",COUPLE,"PRIMARY SUBSCRIBER AND ONE DEPENDENT","PRIMARY SUBSCRIBER AND TWO DEPENDENTS","PRIMARY SUBSCRIBER AND THREE OR MORE DEPENDENTS","COUPLE AND ONE DEPENDENT","COUPLE AND TWO DEPENDENTS","COUPLE AND THREE OR MORE DEPENDENTS"
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",46,Both,704.43,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",47,Both,734.02,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",48,Both,767.83,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",49,Both,801.17,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",50,Both,838.74,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",51,Both,875.84,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",52,Both,916.70,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",53,Both,958.02,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",54,Both,1002.64,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",55,Both,1047.25,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",56,Both,1095.62,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",57,Both,1144.46,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",58,Both,1196.59,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",59,Both,1222.42,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",60,Both,1274.55,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",61,Both,1319.63,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",62,Both,1349.22,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference",63,Both,1386.32,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 1","No Preference","64 and over",Both,1408.86,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",0-14,Both,337.49,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",15,Both,367.49,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",16,Both,378.96,,,,,,,,
2026,WA,12435,SERFF,1,01-13-2026,,2026-12-31,2026-01-01,12435WA0010001,"Rating Area 2","No Preference",17,Both,390.43,,,,,,,,
