"BUSINESS YEAR","STATE CODE","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","PRODUCT ID","STANDARD COMPONENT ID","DEPENDENT MAX AGE RULE","AGE DETERMINATION RULE","MINIMUM TOBACCO FREE MONTHS RULE","COHABITATION RULE REQUIRED","COHABITATION RULE CODE","MARKET COVERAGE","DENTAL ONLY PLAN","MEDICAL OR DENTAL RULE","MAX CHILDREN IN POLICY"
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,"Life Partner",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,"Life Partner",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Spouse,,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Medical,3
2026,VA,10207,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Medical,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,Self,,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Stepson or Stepdaughter",,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Child,,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,"Foster Child",,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",No,Ward,,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,"Life Partner",,,Dental,3
2026,VA,16064,SERFF,1,05-20-2026,,,25,"Age on effective date","Not Applicable",Yes,Spouse,,,Dental,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,Yes,Self,,,Medical,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,No,Child,,,Medical,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,No,"Stepson or Stepdaughter",,,Medical,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,No,"Foster Child",,,Medical,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,Yes,Ward,,,Medical,3
2026,VA,20507,SERFF,1,05-20-2026,,,26,"Age on effective date",6,Yes,Spouse,,,Medical,3
2026,VA,24251,SERFF,1,05-20-2026,,,25,"Age on effective date",6,No,"Foster Child",,,Medical,3
2026,VA,24251,SERFF,1,05-20-2026,,,25,"Age on effective date",6,No,Ward,,,Medical,3
2026,VA,24251,SERFF,1,05-20-2026,,,25,"Age on effective date",6,Yes,Self,,,Medical,3
2026,VA,24251,SERFF,1,05-20-2026,,,25,"Age on effective date",6,No,Spouse,,,Medical,3
